symbol,pdf_url,suspension_date,reason
MYRX.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MYTX.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
PLIN.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
PRAS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
RSGK.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
SMCB.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
WICO.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202504/83c75d0dbc_dd070e62c5.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
FORZ.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
HDTX.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
KPAL.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
KPAS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
KRAH.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
MAMI.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
MYRX.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
